refDes,platformType,zarrFile,variables
CE04OSPD-DP01B-02-VEL3DA105,profiler,CE04OSPD-DP01B-02-VEL3DA105-recovered_inst-dpc_acm_instrument_recovered,"['vel3d_a_eastward_velocity','vel3d_a_northward_velocity','vel3d_a_upward_velocity_ascending','vel3d_a_upward_velocity_descending']"
RS03AXPD-DP03A-02-VEL3DA303,profiler,RS03AXPD-DP03A-02-VEL3DA303-recovered_inst-dpc_acm_instrument_recovered,"['vel3d_a_eastward_velocity','vel3d_a_northward_velocity','vel3d_a_upward_velocity_ascending','vel3d_a_upward_velocity_descending']"
RS01SLBS-MJ01A-12-VEL3DB101,fixed,RS01SLBS-MJ01A-12-VEL3DB101-streamed-vel3d_b_sample,"['eastward_turbulent_velocity','northward_turbulent_velocity','upward_turbulent_velocity','pitch','roll','temperature']"
RS01SUM1-LJ01B-12-VEL3DB104,fixed,RS01SUM1-LJ01B-12-VEL3DB104-streamed-vel3d_b_sample,"['eastward_turbulent_velocity','northward_turbulent_velocity','upward_turbulent_velocity','pitch','roll','temperature']"
RS03AXBS-MJ03A-12-VEL3DB301,fixed,RS03AXBS-MJ03A-12-VEL3DB301-streamed-vel3d_b_sample,"['eastward_turbulent_velocity','northward_turbulent_velocity','upward_turbulent_velocity','pitch','roll','temperature']"
RS03INT2-MJ03D-12-VEL3DB304,fixed,RS03INT2-MJ03D-12-VEL3DB304-streamed-vel3d_b_sample,"['eastward_turbulent_velocity','northward_turbulent_velocity','upward_turbulent_velocity','pitch','roll','temperature']"
CE04OSBP-LJ01C-07-VEL3DC107,fixed,CE04OSBP-LJ01C-07-VEL3DC107-streamed-vel3d_cd_velocity_data,"['vel3d_c_eastward_turbulent_velocity','vel3d_c_northward_turbulent_velocity','vel3d_c_upward_turbulent_velocity']"
CE02SHBP-LJ01D-07-VEL3DC108,fixed,CE02SHBP-LJ01D-07-VEL3DC108-streamed-vel3d_cd_velocity_data,"['vel3d_c_eastward_turbulent_velocity','vel3d_c_northward_turbulent_velocity','vel3d_c_upward_turbulent_velocity']"
RS01SBPD-DP01A-03-FLCDRA102,profiler,RS01SBPD-DP01A-03-FLCDRA102-recovered_inst-dpc_flcdrtd_instrument_recovered,"['flcdr_x_mmp_cds_fluorometric_cdom']"
CE04OSPD-DP01B-03-FLCDRA103,profiler,CE04OSPD-DP01B-03-FLCDRA103-recovered_inst-dpc_flcdrtd_instrument_recovered,"['flcdr_x_mmp_cds_fluorometric_cdom']"
RS03AXPD-DP03A-03-FLCDRA302,profiler,RS03AXPD-DP03A-03-FLCDRA302-recovered_inst-dpc_flcdrtd_instrument_recovered,"['flcdr_x_mmp_cds_fluorometric_cdom']"
RS01SBPD-DP01A-04-FLNTUA102,profiler,RS01SBPD-DP01A-04-FLNTUA102-recovered_inst-dpc_flnturtd_instrument_recovered,"['flntu_x_mmp_cds_fluorometric_chlorophyll_a','flntu_x_mmp_cds_bback_total','flntu_x_mmp_cds_total_volume_scattering_coefficient']"
CE04OSPD-DP01B-04-FLNTUA103,profiler,CE04OSPD-DP01B-04-FLNTUA103-recovered_inst-dpc_flnturtd_instrument_recovered,"['flntu_x_mmp_cds_fluorometric_chlorophyll_a','flntu_x_mmp_cds_bback_total','flntu_x_mmp_cds_total_volume_scattering_coefficient']"
RS03AXPD-DP03A-03-FLNTUA302,profiler,RS03AXPD-DP03A-03-FLNTUA302-recovered_inst-dpc_flnturtd_instrument_recovered,"['flntu_x_mmp_cds_fluorometric_chlorophyll_a','flntu_x_mmp_cds_bback_total','flntu_x_mmp_cds_total_volume_scattering_coefficient']"
CE04OSBP-LJ01C-05-ADCPSI103,profiler,CE04OSBP-LJ01C-05-ADCPSI103-streamed-adcp_velocity_beam,"['eastward_seawater_velocity','northward_seawater_velocity','upward_seawater_velocity']"
RS01SUM2-MJ01B-12-ADCPSK101,profiler,RS01SUM2-MJ01B-12-ADCPSK101-streamed-adcp_velocity_beam,"['eastward_seawater_velocity','northward_seawater_velocity','upward_seawater_velocity']"
CE02SHBP-LJ01D-05-ADCPTB104,profiler,CE02SHBP-LJ01D-05-ADCPTB104-streamed-adcp_velocity_beam,"['eastward_seawater_velocity','northward_seawater_velocity','upward_seawater_velocity']"
RS01SBPS-PC01A-05-ADCPTD102,profiler,RS01SBPS-PC01A-05-ADCPTD102-streamed-adcp_velocity_beam,"['eastward_seawater_velocity','northward_seawater_velocity','upward_seawater_velocity']"
RS03AXPS-PC03A-05-ADCPTD302,profiler,RS03AXPS-PC03A-05-ADCPTD302-streamed-adcp_velocity_beam,"['eastward_seawater_velocity','northward_seawater_velocity','upward_seawater_velocity']"
RS01SLBS-LJ01A-10-ADCPTE101,profiler,RS01SLBS-LJ01A-10-ADCPTE101-streamed-adcp_velocity_beam,"['eastward_seawater_velocity','northward_seawater_velocity','upward_seawater_velocity']"
RS03AXBS-LJ03A-10-ADCPTE303,profiler,RS03AXBS-LJ03A-10-ADCPTE303-streamed-adcp_velocity_beam,"['eastward_seawater_velocity','northward_seawater_velocity','upward_seawater_velocity']"
RS01SBPS-PC01A-06-VADCPB101,profiler,RS01SBPS-PC01A-06-VADCPB101-streamed-vadcp_b_velocity_beam,"['vadcp_b_beam_eastward','vadcp_b_beam_northward','vadcp_b_beam_vertical_true']"
RS03AXPS-PC03A-06-VADCPB301,profiler,RS03AXPS-PC03A-06-VADCPB301-streamed-vadcp_b_velocity_beam,"['vadcp_b_beam_eastward','vadcp_b_beam_northward','vadcp_b_beam_vertical_true']"
